2022-12-11 16:46:54,482 INFO    MainThread:7743 [wandb_setup.py:_flush():68] Configure stats pid to 7743
2022-12-11 16:46:54,483 INFO    MainThread:7743 [wandb_setup.py:_flush():68] Loading settings from /Users/marlon/.config/wandb/settings
2022-12-11 16:46:54,483 INFO    MainThread:7743 [wandb_setup.py:_flush():68] Loading settings from /Users/marlon/Repositories/jarvis-ai/wandb/settings
2022-12-11 16:46:54,483 INFO    MainThread:7743 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-11 16:46:54,483 INFO    MainThread:7743 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'jarvis.py', 'program': '/Users/marlon/Repositories/jarvis-ai/jarvis.py'}
2022-12-11 16:46:54,483 INFO    MainThread:7743 [wandb_setup.py:_flush():68] Applying login settings: {'api_key': '***REDACTED***'}
2022-12-11 16:46:54,483 INFO    MainThread:7743 [wandb_init.py:_log_setup():476] Logging user logs to /Users/marlon/Repositories/jarvis-ai/wandb/run-20221211_164654-10bu8epf/logs/debug.log
2022-12-11 16:46:54,483 INFO    MainThread:7743 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/marlon/Repositories/jarvis-ai/wandb/run-20221211_164654-10bu8epf/logs/debug-internal.log
2022-12-11 16:46:54,484 INFO    MainThread:7743 [wandb_init.py:init():516] calling init triggers
2022-12-11 16:46:54,484 INFO    MainThread:7743 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-12-11 16:46:54,484 INFO    MainThread:7743 [wandb_init.py:init():569] starting backend
2022-12-11 16:46:54,484 INFO    MainThread:7743 [wandb_init.py:init():573] setting up manager
2022-12-11 16:46:54,486 INFO    MainThread:7743 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-12-11 16:46:54,489 INFO    MainThread:7743 [wandb_init.py:init():580] backend started and connected
2022-12-11 16:46:54,491 INFO    MainThread:7743 [wandb_init.py:init():658] updated telemetry
2022-12-11 16:46:54,514 INFO    MainThread:7743 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-11 16:46:55,072 INFO    MainThread:7743 [wandb_run.py:_on_init():2006] communicating current version
2022-12-11 16:46:55,417 INFO    MainThread:7743 [wandb_run.py:_on_init():2010] got version response 
2022-12-11 16:46:55,417 INFO    MainThread:7743 [wandb_init.py:init():728] starting run threads in backend
2022-12-11 16:46:55,472 INFO    MainThread:7743 [wandb_run.py:_console_start():1986] atexit reg
2022-12-11 16:46:55,473 INFO    MainThread:7743 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-11 16:46:55,473 INFO    MainThread:7743 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-11 16:46:55,473 INFO    MainThread:7743 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-11 16:46:55,473 INFO    MainThread:7743 [wandb_init.py:init():765] run started, returning control to user process
2022-12-11 16:49:13,182 WARNING MsgRouterThr:7743 [router.py:message_loop():77] message_loop has been closed
