2022-12-11 17:08:02,907 INFO    MainThread:8717 [wandb_setup.py:_flush():68] Configure stats pid to 8717
2022-12-11 17:08:02,908 INFO    MainThread:8717 [wandb_setup.py:_flush():68] Loading settings from /Users/marlon/.config/wandb/settings
2022-12-11 17:08:02,908 INFO    MainThread:8717 [wandb_setup.py:_flush():68] Loading settings from /Users/marlon/Repositories/jarvis-ai/wandb/settings
2022-12-11 17:08:02,908 INFO    MainThread:8717 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-11 17:08:02,908 INFO    MainThread:8717 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'jarvis.py', 'program': '/Users/marlon/Repositories/jarvis-ai/jarvis.py'}
2022-12-11 17:08:02,908 INFO    MainThread:8717 [wandb_init.py:_log_setup():476] Logging user logs to /Users/marlon/Repositories/jarvis-ai/wandb/run-20221211_170802-283s8r3t/logs/debug.log
2022-12-11 17:08:02,908 INFO    MainThread:8717 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/marlon/Repositories/jarvis-ai/wandb/run-20221211_170802-283s8r3t/logs/debug-internal.log
2022-12-11 17:08:02,908 INFO    MainThread:8717 [wandb_init.py:init():516] calling init triggers
2022-12-11 17:08:02,908 INFO    MainThread:8717 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-12-11 17:08:02,909 INFO    MainThread:8717 [wandb_init.py:init():569] starting backend
2022-12-11 17:08:02,909 INFO    MainThread:8717 [wandb_init.py:init():573] setting up manager
2022-12-11 17:08:02,911 INFO    MainThread:8717 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-12-11 17:08:02,913 INFO    MainThread:8717 [wandb_init.py:init():580] backend started and connected
2022-12-11 17:08:02,915 INFO    MainThread:8717 [wandb_init.py:init():658] updated telemetry
2022-12-11 17:08:02,929 INFO    MainThread:8717 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-11 17:08:03,364 INFO    MainThread:8717 [wandb_run.py:_on_init():2006] communicating current version
2022-12-11 17:08:03,524 INFO    MainThread:8717 [wandb_run.py:_on_init():2010] got version response 
2022-12-11 17:08:03,524 INFO    MainThread:8717 [wandb_init.py:init():728] starting run threads in backend
2022-12-11 17:08:03,567 INFO    MainThread:8717 [wandb_run.py:_console_start():1986] atexit reg
2022-12-11 17:08:03,567 INFO    MainThread:8717 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-11 17:08:03,567 INFO    MainThread:8717 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-11 17:08:03,567 INFO    MainThread:8717 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-11 17:08:03,567 INFO    MainThread:8717 [wandb_init.py:init():765] run started, returning control to user process
2022-12-11 17:08:19,327 INFO    MainThread:8717 [wandb_run.py:_finish():1753] finishing run kamephis/GPT-3 in Python/283s8r3t
2022-12-11 17:08:19,327 INFO    MainThread:8717 [wandb_run.py:_atexit_cleanup():1955] got exitcode: 0
2022-12-11 17:08:19,328 INFO    MainThread:8717 [wandb_run.py:_restore():1938] restore
2022-12-11 17:08:19,328 INFO    MainThread:8717 [wandb_run.py:_restore():1944] restore done
2022-12-11 17:08:26,736 INFO    MainThread:8717 [wandb_run.py:_footer_history_summary_info():3408] rendering history
2022-12-11 17:08:26,736 INFO    MainThread:8717 [wandb_run.py:_footer_history_summary_info():3440] rendering summary
2022-12-11 17:08:26,741 INFO    MainThread:8717 [wandb_run.py:_footer_sync_info():3364] logging synced files
